ID,Rationale / Explanation,,,,
AR_1243,"Retraining governance prevents automated pipelines from deploying degraded models. Validation checkpoints assess new model quality, impact reassessment identifies changed risks, and approval workflows ensure human oversight before production promotion.

Check:
• Automated validation gates in retraining pipelines
• Impact reassessment triggered by retraining events
• Approval requirements for production promotion
• Comparison testing against current production model

Ask: IT Team, Data Team",,,,AR_1243
AR_1249,"Version control for generative AI components creates audit trails and enables rollback when changes degrade safety or performance. Independent review catches dangerous prompt modifications, while validation testing confirms new configurations meet safety criteria before deployment.

Check:
• Git-based version control for all GenAI components
• Peer review workflows for configuration changes
• Safety and performance validation testing
• Rollback procedures for problematic changes

Ask: Data Team, Security Team",,,,AR_1249
AR_1250,"Adversarial testing reveals vulnerabilities before attackers exploit them. Red-teaming exercises proportionate to risk classification identify prompt injection, data poisoning, and abuse vectors, while documented remediation prevents deployment of exploitable systems.

Check:
• Scheduled adversarial testing before deployment
• Risk-proportionate testing intensity and scope
• Documentation of findings and remediation actions
• Periodic retesting validating fix effectiveness

Ask: Security Team",,,,AR_1250
AR_1251,"Retirement approval ensures decommissioning doesn't create unintended consequences. Documented rationale justifies retirement, residual risk assessment identifies ongoing exposures, stakeholder impact analysis prevents service disruptions, and dependency mapping ensures downstream systems have transition plans.

Check:
• Governance committee approval for retirements
• Documented retirement rationale and residual risks
• Stakeholder impact assessment
• Dependency mapping with transition agreements

Ask: Risk Team, IT Team",,,,AR_1251
AR_1252,"Comprehensive retirement processes prevent security vulnerabilities from abandoned systems. Secure archival preserves regulatory records, compliant data disposal eliminates liability, API revocation stops unauthorized access, and dependency assessment prevents operational failures.

Check:
• Model artifact archival per retention schedules
• Data disposal meeting legal requirements
• API endpoint and credential revocation
• Downstream dependency identification and mitigation

Ask: IT Team, Compliance Team",,,,AR_1252
AR_1256,"Formal data management across lifecycle stages ensures quality, compliance, and accountability. Assigned data stewards drive continuous improvement, while differentiated governance recognizes that training, validation, and operational data have distinct risk profiles requiring tailored controls.

Check:
• Documented data management process for all stages
• Assigned data stewards for each asset
• Differentiated controls by data type and usage
• Governance oversight of data management execution

Ask: Data Team, Compliance Team",,,,AR_1256
AR_1261,"Data poisoning controls prevent adversaries from manipulating training data to corrupt model behavior. Detection mechanisms identify anomalous data, integrity verification confirms data hasn't been tampered, and procedural controls limit who can contribute training data.

Check:
• Poisoning risk assessment for all training datasets
• Anomaly detection identifying suspicious data patterns
• Cryptographic integrity verification (hashing)
• Access controls limiting data contribution permissions

Ask: Security Team, Data Team",,,,AR_1261
AR_1265,"Operational data drift monitoring detects when production inputs diverge from training distributions, causing performance degradation. Formal reassessment when drift is detected determines whether models need retraining or data quality issues require fixes.

Check:
• Statistical drift monitoring comparing operational vs. training data
• Defined intervals for proactive drift assessment
• Automated alerts triggering reassessment workflows
• Documentation of reassessment findings and actions

Ask: Data Team, Product Team",,,,AR_1265
AR_1266,"Retraining checkpoints prevent models from learning from degraded or poisoned data. Re-validating data acquisition, quality, provenance, and preparation before deployment ensures new models meet the same standards as original deployments.

Check:
• Documented checkpoint requirements for retraining
• Data quality re-validation before deployment
• Provenance verification for new training data
• Approval workflows enforcing checkpoint compliance

Ask: Data Team, IT Team",,,,AR_1266
AR_1269,"Quality standards for human labeling prevent annotation errors from degrading model performance. Competence requirements ensure reviewers understand tasks, bias mitigation safeguards reduce systematic errors, and validation checks catch inconsistent labeling.

Check:
• Documented quality standards for annotation tasks
• Competence requirements and reviewer training
• Bias mitigation procedures for annotation workflows
• Validation checks measuring labeling consistency

Ask: Data Team",,,,AR_1269
AR_1272,"Purpose compatibility assessment prevents unlawful secondary AI use of data collected for other purposes. Legal basis validation confirms proper authority, while data subject expectation analysis ensures AI use aligns with what individuals reasonably anticipated.

Check:
• Purpose compatibility assessment documented
• Legal basis validation for secondary AI use
• Data subject expectation analysis
• Jurisdictional compliance verification

Ask: Compliance Team, Legal Team",,,,AR_1272
AR_1278,"Published acceptable-use policies define boundaries for AI usage, preventing misuse and evidence fabrication. Clear consequences deter violations, while reporting processes enable detection and remediation of policy breaches.

Check:
• AUP document defining permitted and prohibited uses
• Published policy accessible to all users
• Consequences defined for policy violations
• Reporting process for suspected violations

Ask: Compliance Team",,,,AR_1278
AR_1279,"IP policies clarify ownership of AI-generated outputs, preventing disputes and licensing violations. Training data rights management avoids copyright infringement, open-source compliance prevents license violations, and third-party model weight restrictions prevent unauthorized usage.

Check:
• Policy defining output ownership
• Training data licensing documentation
• Open-source license compliance procedures
• Third-party model usage restrictions

Ask: Legal Team",,,,AR_1279
AR_1280,"Multi-jurisdictional obligation identification prevents regulatory violations across operating territories. Regulatory monitoring detects new requirements, impact assessment determines affected systems, and control updates ensure ongoing compliance as regulations evolve.

Check:
• Documented legal obligations per jurisdiction
• Regulatory horizon scanning process
• Impact assessment for new requirements
• Control update procedures

Ask: Legal Team, Compliance Team",,,,AR_1280
AR_1282,"Accessible reporting mechanisms enable users to flag AI harms, creating early warning systems. Logging creates audit trails, investigation processes determine root causes, and trend analysis identifies systemic issues requiring governance intervention.

Check:
• Multiple reporting channels (web, phone, email)
• Incident logging system
• Investigation procedures with defined timelines
• Trend analysis identifying patterns

Ask: Compliance Team, Risk Team",,,,AR_1282
AR_1283,"Explanation processes for high-stakes AI decisions enable meaningful review and appeal. Plain-language explanations help individuals understand decisions affecting them, supporting informed consent and accountability.

Check:
• Processes for generating explanations upon request
• Plain-language templates avoiding technical jargon
• Response timelines for explanation requests
• Quality review ensuring explanation adequacy

Ask: Compliance Team, Product Team",,,,AR_1283
AR_1284,"Formal incident communication plans prevent chaotic responses during AI crises. Severity classification triggers appropriate notifications, designated roles clarify responsibilities, regular testing validates effectiveness, and post-incident updates incorporate lessons learned.

Check:
• Incident communication plan documentation
• Severity tiers with notification requirements
• Designated communication roles and responsibilities
• Regular testing and post-incident plan updates

Ask: Risk Team, Compliance Team",,,,AR_1284
AR_1285,"Reportability criteria ensure regulatory compliance for serious AI incidents. Harm-severity thresholds define reporting triggers, scale measures capture widespread impacts, timeline requirements prevent late reporting, and evidence preservation supports investigations.

Check:
• Documented criteria defining reportable incidents
• Harm thresholds and scale measures
• Regulatory timeline requirements
• Evidence preservation procedures

Ask: Compliance Team, Legal Team",,,,AR_1285
AR_1288,"Safeguards for vulnerable users prevent disproportionate harm to populations with special needs. Enhanced explanations improve comprehension, simplified formats accommodate accessibility limitations, and signposted escalation provides human assistance when needed.

Check:
• Vulnerable group identification process
• Enhanced explanation mechanisms
• Simplified output formats and interfaces
• Clear escalation paths to human support

Ask: Ethics Team, Product Team",,,,AR_1288
AR_1289,"Documentation governance ensures AI-facing materials remain accurate and current. Version control tracks changes, review cadence catches outdated content, and communication processes inform users of material updates affecting their interactions.

Check:
• Version control for all AI documentation
• Scheduled review triggered by system changes
• Approval workflows for documentation updates
• User communication processes for material changes

Ask: Compliance Team, Product Team",,,,AR_1289
AR_1290,"Disclaimer governance prevents misleading limitation notices. Review by risk, legal, and governance functions ensures accuracy, while update processes keep disclaimers current when model capabilities or risks change.

Check:
• Disclaimer review by cross-functional teams
• Accuracy verification against actual limitations
• Update procedures for capability or risk changes
• Testing confirming users receive current disclaimers

Ask: Compliance Team, Legal Team",,,,AR_1290
AR_1292,"User notification obligations after harmful incidents enable affected parties to take protective action. Timely notification prevents additional harm, content standards ensure clarity, and record retention supports accountability and regulatory compliance.

Check:
• Notification obligation documentation
• Defined notification timelines by incident severity
• Content standards for notification messages
• Record retention of notifications sent

Ask: Compliance Team, Risk Team",,,,AR_1292
AR_1293,"Public transparency framework governance prevents misleading AI capability claims. Pre-publication review by risk, legal, and compliance catches inaccuracies, prohibition of misleading claims maintains trust, and alignment verification ensures external communications match internal reality.

Check:
• Pre-publication review process
• Prohibition of misleading capability claims
• Verification against technical documentation
• Approval workflows for public communications

Ask: Compliance Team, Legal Team",,,,AR_1293
AR_1299,"Formal misuse reporting processes enable detection and remediation of policy violations. Defined timelines ensure rapid response, escalation criteria engage appropriate authority, designated accountability drives remediation, and systematic record retention supports investigations.

Check:
• Documented reporting process with timelines
• Escalation criteria for different misuse types
• Designated remediation accountability
• Complete record retention of all reports

Ask: Compliance Team, Risk Team",,,,AR_1299
AR_1300,"Measurable responsible AI objectives with behavioral criteria enable progress tracking. Training content integration educates workforce, operational monitoring detects violations, and regular review ensures objectives evolve with changing AI portfolios and regulatory landscapes.

Check:
• Documented RAI objectives with success metrics
• Behavioral criteria defining compliant use
• Training content incorporating objectives
• Regular review updating objectives as context changes

Ask: Ethics Team, Risk Team",,,,AR_1300
AR_1302,"Out-of-scope use controls prevent AI deployment beyond intended purposes. Governance approval for new use cases ensures proper risk assessment, while active monitoring detects unauthorized usage triggering defined response processes.

Check:
• Technical constraints limiting use to intended purposes
• Approval workflows for new use cases
• Monitoring detecting out-of-scope usage
• Response procedures for detected violations

Ask: Compliance Team, Product Team",,,,AR_1302
AR_1304,"Periodic use assessments verify actual AI usage matches documentation. Operational log review reveals undocumented uses, incident analysis identifies patterns, and monitoring output analysis detects out-of-boundary applications requiring governance intervention.

Check:
• Scheduled periodic use assessments
• Operational log review procedures
• Incident report analysis
• Documentation and action on assessment findings

Ask: Compliance Team, Data Team",,,,AR_1304
AR_1307,"Shadow AI policies prevent unauthorized tools from creating security and compliance risks. Prohibited tool lists block high-risk platforms, controls preventing sensitive data submission protect confidentiality, technical enforcement stops violations, and consequences deter non-compliance.

Check:
• Policy defining prohibited and restricted tools
• Technical controls blocking sensitive data uploads
• Monitoring detecting shadow AI usage
• Defined consequences for violations

Ask: Security Team, IT Team",,,,AR_1307
AR_1313,"Progress assessment against RAI objectives demonstrates governance effectiveness. Strong progress shows objectives drive meaningful behavior change, while minimal progress indicates objectives are aspirational rather than operational, requiring revision or enhanced enforcement.

Check:
• Documented metrics demonstrating progress
• Comparison against baseline and target states
• Evidence of objective-driven behavior changes
• Analysis identifying gaps requiring attention

Ask: Ethics Team, Risk Team",,,,AR_1313
AR_1314,"Consequence frameworks with HR integration create accountability for responsible AI violations. Graduated consequences scaled to severity motivate compliance, while formal integration into disciplinary procedures and contracts ensures enforcement authority.

Check:
• Documented consequence framework by violation severity
• HR disciplinary procedure integration
• Contractor agreement incorporation
• Consistent enforcement across violations

Ask: Compliance Team",,,,AR_1314
AR_1320,"Label leakage validation prevents training contamination from target information appearing in features. Synthetic data controls with quality checks and proportion limits prevent model collapse where AI learns from its own outputs rather than real-world patterns.

Check:
• Automated label leakage detection before training
• Synthetic data proportion limits
• Quality validation for AI-generated data
• Testing confirming real-world behavior representation

Ask: Data Team",,,,AR_1320
AR_1321,"Secure coding standards for AI-assisted development prevent hardcoded secrets and unmaintainable auto-generated code. Detection mechanisms catch security vulnerabilities, while review requirements ensure code quality regardless of generation method.

Check:
• Standards prohibiting hardcoded secrets in AI-generated code
• Automated detection of credential exposure
• Code review requirements for AI-generated code
• Maintainability assessment for auto-generated code

Ask: Security Team",,,,AR_1321
AR_1327,"Synthetic identity detection prevents fraud from AI-generated identities. Deepfake checks validate biometric authenticity, cross-channel verification confirms consistency, and device fingerprinting detects automated account creation patterns.

Check:
• Deepfake detection for biometric submissions
• Cross-channel verification comparing data sources
• Device fingerprinting detecting automation
• Behavioral analysis identifying synthetic patterns

Ask: Security Team",,,,AR_1327
AR_1328,"Consent and access controls for AI assistants prevent privacy violations and conflicts of interest. Recording consent creates legal compliance, while access controls prevent assistants from surfacing restricted information to unauthorized personnel.

Check:
• Consent capture and documentation for AI assistance
• Access control integration preventing unauthorized surfacing
• Conflict-of-interest matter identification and blocking
• Audit logging of AI assistant access patterns

Ask: Compliance Team, Security Team",,,,AR_1328
AR_1334,"Adversarial threat testing validates AI resilience against manipulation. Crafted inputs test robustness, malicious context documents reveal RAG vulnerabilities, and poisoned data tests reveal training corruption susceptibility.

Check:
• Adversarial input testing across attack vectors
• RAG poisoning scenario testing
• Data poisoning resilience validation
• Documentation and remediation of findings

Ask: Security Team",,,,AR_1334
AR_1335,"Train/test separation prevents contamination creating artificially inflated performance estimates. Guarding against log leakage and replayed traffic stops test data from contaminating training, while periodic re-verification catches drift in separation controls.

Check:
• Automated train/test split validation
• Log and traffic replay prevention mechanisms
• Periodic contamination testing
• Documentation of separation methodology

Ask: Data Team",,,,AR_1335
AR_1337,"Structured failure scenario analysis prepares organizations for AI crises. Tabletop exercises test response procedures, red-teaming reveals attack vulnerabilities, and stress testing validates resilience, preventing ad-hoc improvisation during actual incidents.

Check:
• Scheduled scenario analysis exercises
• Tabletop exercises testing response procedures
• Red-teaming identifying vulnerabilities
• Documentation and remediation of findings

Ask: Security Team, Risk Team",,,,AR_1337
AR_1340,"Discrimination testing prevents AI from systematically disadvantaging protected groups. Dark pattern detection ensures UI flows don't manipulate consumers, while explanation mechanisms enable meaningful review when services are denied.

Check:
• Fairness testing across demographic groups
• Dark pattern analysis of AI-influenced UI
• Explanation provision for denials
• Remediation processes for detected discrimination

Ask: Ethics Team, Product Team",,,,AR_1340
AR_1341,"Evidence alteration controls prevent generative AI misuse in audits and regulatory submissions. Policies prohibit fabrication, technical controls detect AI-generated content, and independent verification ensures authenticity.

Check:
• Policy prohibiting AI evidence generation
• Technical detection of AI-generated content
• Independent verification requirements
• Consequences for evidence alteration violations

Ask: Compliance Team, Security Team",,,,AR_1341
AR_1342,"Strong verification for voice/video-initiated high-value actions defends against deepfake impersonation. Call-back verification confirms identity through alternative channels, multi-factor adds authentication layers, and out-of-band checks prevent real-time manipulation.

Check:
• Call-back verification for voice/video instructions
• Multi-factor authentication requirements
• Out-of-band verification for high-value actions
• Training on deepfake threat awareness

Ask: Security Team",,,,AR_1342
AR_1343,"Abnormal pattern monitoring for billing and returns AI detects systematic manipulation. Upcoding detection prevents revenue inflation, unusual approval rates reveal exploitation, and human review of flagged exceptions catches sophisticated gaming.

Check:
• Statistical monitoring of billing code distributions
• Approval rate tracking and anomaly detection
• Human review workflows for flagged exceptions
• Investigation procedures for confirmed abnormalities

Ask: Risk Team, Product Team",,,,AR_1343
AR_1344,"Abuse prevention controls stop automated fake account creation and incentive exploitation. CAPTCHAs challenge automation, device fingerprinting identifies suspicious patterns, velocity checks detect mass creation, and identity verification stops synthetic identities.

Check:
• CAPTCHA implementation for account creation
• Device fingerprinting detecting automation patterns
• Velocity checks limiting rapid account creation
• Identity verification for high-value incentives

Ask: Security Team",,,,AR_1344
AR_1345,"Anti-spoofing verification for voice authentication prevents deepfake impersonation. Knowledge factors verify identity beyond voice, device checks confirm expected equipment, and callbacks validate requests through alternative channels.

Check:
• Multi-factor authentication beyond voice
• Knowledge-based verification questions
• Device validation against registered equipment
• Call-back procedures for high-risk requests

Ask: Security Team",,,,AR_1345
AR_1348,"Formal knowledge-transfer programs preserve organizational capability as AI automates roles. Documented transferable skills enable redeployment, retraining pathways provide career continuity, defined timelines create urgency, and success metrics track effectiveness.

Check:
• Knowledge-transfer program documentation
• Transferable skill identification and documentation
• Retraining pathways with timelines
• Success metrics tracking program effectiveness

Ask: Compliance Team, Risk Team",,,,AR_1348
AR_1349,"Proportionate safeguards for employee AI monitoring prevent privacy violations. Legal basis validation ensures lawful monitoring, data minimization limits collection, purpose limitation prevents scope creep, employee notification enables informed consent, and human review prevents automated terminations.

Check:
• Legal basis documentation for monitoring
• Data minimization limiting collection scope
• Purpose limitation preventing repurposing
• Employee notification and appeal mechanisms

Ask: Compliance Team",,,,AR_1349
AR_1351,"Formal alert-tuning processes prevent monitoring fatigue from excessive false positives. Documented thresholds provide transparency, rationale justifies settings, tuning history tracks evolution, and scheduled recalibration maintains effectiveness as systems evolve.

Check:
• Documented alert thresholds with rationale
• Tuning history tracking all changes
• Approval authority for threshold modifications
• Scheduled recalibration cadence

Ask: Data Team, IT Team",,,,AR_1351
AR_1352,"Safeguards for vulnerable user groups prevent AI from disproportionately harming populations with special needs. Simplified interfaces improve accessibility, human escalation provides alternative paths, and periodic effectiveness reviews ensure safeguards remain adequate.

Check:
• Vulnerable group identification
• Simplified interface options
• Human escalation mechanisms
• Periodic safeguard effectiveness reviews

Ask: Ethics Team, Product Team",,,,AR_1352
AR_1353,"Proactive AI disclosure informs users when AI influences their interactions. Specifying AI's role enables informed consent, recourse information empowers users, and plain-language communication ensures comprehension across literacy levels.

Check:
• AI disclosure in all relevant interactions
• Specification of AI's decision-making role
• Recourse mechanism information
• Plain-language accessibility

Ask: Compliance Team, Product Team",,,,AR_1353
AR_1354,"Formal incident-reporting mechanisms enable harm detection and remediation. Accessible channels ensure usability, acknowledgement timelines provide certainty, confidentiality protections encourage reporting, and anti-retaliation policies prevent suppression.

Check:
• Multiple accessible reporting channels
• Acknowledgement timelines documented
• Confidentiality protections implemented
• Anti-retaliation policy enforcement

Ask: Compliance Team, Risk Team",,,,AR_1354
AR_1355,"Formal escalation processes ensure serious AI incidents reach appropriate decision-makers. Severity-based tiers match escalation to risk, named authorities clarify responsibility, time-bound thresholds prevent delays, and board notification ensures executive awareness.

Check:
• Documented escalation tiers by severity
• Named escalation authorities for each tier
• Time-bound escalation thresholds
• Board/executive notification triggers

Ask: Risk Team, Compliance Team",,,,AR_1355
AR_1356,"Comprehensive AI system registers provide visibility into organizational AI footprint. Documented attributes enable risk assessment, ownership assignment creates accountability, risk tier classification drives appropriate controls, and regular refresh maintains currency.

Check:
• Current register documenting all operational AI
• Complete attribute documentation per system
• Designated system owners
• Defined refresh cadence

Ask: Data Team, Compliance Team",,,,AR_1356
AR_1357,"Licensing policy enforcement prevents IP violations from incompatible code. License compatibility assessment catches conflicts, attribution requirements ensure compliance, prohibited license blocking prevents contamination, and annual audits verify ongoing compliance.

Check:
• Policy defining license requirements and restrictions
• Compatibility assessment procedures
• Attribution fulfillment processes
• Annual audit validating compliance

Ask: Legal Team",,,,AR_1357
AR_1358,"Formal IP review prevents legal disputes over AI development. Training data rights assessment avoids copyright infringement, output ownership clarification prevents disputes, employee/contractor IP assignment ensures organizational control, and jurisdictional analysis addresses cross-border complexities.

Check:
• IP review documentation for all AI development
• Training data rights verification
• Output ownership documentation
• Legal review and approval

Ask: Legal Team",,,,AR_1358
AR_1365,"Systematic disagreement tracking between AI and human judgments identifies annotation quality issues. Regular review of error rates by annotator reveals training needs or problematic vendors requiring remediation.

Check:
• Tracking system logging AI-human disagreements
• Error rate calculation by annotator/vendor
• Regular quality review meetings
• Remediation workflows for quality issues

Ask: Data Team",,,,AR_1365
AR_1366,"Cross-client protections prevent RAG systems from leaking confidential information between clients. Technical controls enforce data segregation, contractual provisions create legal obligations, and testing validates separation effectiveness.

Check:
• Technical data segregation by client/classification
• Query filtering preventing cross-client retrieval
• Contractual confidentiality provisions
• Regular testing validating separation

Ask: Security Team, Compliance Team",,,,AR_1366
AR_1367,"Continuous drift monitoring with lesson integration creates learning organizations. Performance monitoring detects degradation, incident review identifies root causes, and lessons translate into updated controls preventing recurrence.

Check:
• Continuous drift monitoring implementation
• Incident review processes with lesson capture
• Control and playbook updates from lessons
• Training integration of identified improvements

Ask: Data Team, Risk Team",,,,AR_1367
AR_1369,"Business logic monitoring for recommenders prevents counterproductive suggestions. Out-of-stock promotion detection avoids disappointing customers, low-margin product monitoring protects profitability, and inventory reconciliation ensures recommendations match reality.

Check:
• Pattern monitoring for problematic recommendations
• Inventory data integration
• Profitability analysis of recommendations
• Alert mechanisms for business logic violations

Ask: Product Team, Risk Team",,,,AR_1369
AR_1370,"Output reuse controls prevent model collapse and hallucinated content. Validation requirements for AI-generated legal/regulatory content prevent fabricated citations, while human review catches AI errors before submission.

Check:
• Controls limiting training on model outputs
• Human review requirements for legal/regulatory content
• Citation verification procedures
• Quality validation for AI-generated content

Ask: Data Team, Compliance Team",,,,AR_1370
AR_1371,"Technical failure mode monitoring catches AI coding errors. Non-existent library detection prevents code assistants from importing hallucinated dependencies, while model collapse monitoring identifies recursive training degradation.

Check:
• Library existence validation before import
• Monitoring for hallucinated dependencies
• Quality controls for recursive model training
• Alert mechanisms for detected failure modes

Ask: Security Team, Data Team",,,,AR_1371
AR_1374,"Controlled embedding update processes prevent retrieval corruption. Re-indexing procedures maintain consistency, validation queries test retrieval quality, and integrity checks detect corrupted indexes.

Check:
• Documented update procedures for embeddings
• Automated re-indexing on model updates
• Validation query testing
• Integrity checks detecting corruption

Ask: Data Team, IT Team",,,,AR_1374
AR_1376,"Feature integrity monitoring detects production data corruption. Stale cached values, NaN detection, and schema change monitoring prevent silent model degradation from data quality issues.

Check:
• Monitoring for stale or corrupted features
• NaN and null value detection
• Schema change alerting
• Upstream database change tracking

Ask: Data Team, IT Team",,,,AR_1376
AR_1377,"Infrastructure-as-Code with drift detection ensures consistent configuration. Secure backups enable recovery, vulnerability assessment identifies risks, and emergency patching with rollback plans maintains security without excessive downtime risk.

Check:
• IaC management with version control
• Drift detection and automated remediation
• Tested backup and recovery procedures
• Vulnerability assessment with emergency patching

Ask: IT Team, Security Team",,,,AR_1377
AR_1379,"Privacy attack testing validates data protection. Model inversion testing determines if training data can be reconstructed, protecting against privacy breaches exposing individual customers or patients.

Check:
• Regular model inversion testing
• Privacy attack scenario coverage
• Remediation for vulnerable models
• Documentation of testing results

Ask: Security Team",,,,AR_1379
AR_1380,"Lawful basis documentation for personal data AI training ensures regulatory compliance. Explicit consent where required, clear notices about AI use, and cross-border processing assessment prevent privacy violations.

Check:
• Documented lawful bases for AI data processing
• Consent capture where required
• Clear AI use notices
• Cross-border transfer compliance validation

Ask: Compliance Team, Legal Team",,,,AR_1380
AR_1381,"Employee monitoring necessity and proportionality assessment prevents excessive surveillance. Data collection limitation, clear notices, and opt-out or appeal mechanisms balance productivity goals with employee rights.

Check:
• Necessity and proportionality assessment
• Data minimization enforcement
• Employee notification requirements
• Opt-out or appeal mechanisms

Ask: Compliance Team",,,,AR_1381
AR_1385,"Pricing algorithm monitoring prevents margin erosion from competitive undercutting. Race-to-the-bottom detection identifies destructive pricing patterns across products and channels.

Check:
• Pricing behavior monitoring across products
• Margin erosion detection and alerting
• Competitive positioning analysis
• Business rules preventing destructive pricing

Ask: Risk Team, Product Team",,,,AR_1385
AR_1392,"Adversarial prompt defense prevents jailbreaks and resource exhaustion. Testing against known techniques validates protection effectiveness, while resource monitoring prevents compute abuse from sponge inputs.

Check:
• Jailbreak attempt detection and blocking
• Prompt injection defenses implemented
• Resource exhaustion prevention
• Regular adversarial testing

Ask: Security Team",,,,AR_1392
AR_1393,"Component inventory with patching prevents exploitation of known vulnerabilities. Supply-chain risk assessment identifies malicious packages, while regular updates eliminate security gaps in AI stack.

Check:
• Inventory tracking all AI components
• Vulnerability scanning and patching process
• Supply-chain risk assessment
• Third-party package security review

Ask: Security Team, IT Team",,,,AR_1393
AR_1398,"Endpoint lifecycle management prevents certificate expiration and zombie API exposure. Certificate renewal processes maintain encryption, while endpoint inventories identify abandoned APIs requiring decommissioning.

Check:
• Certificate lifecycle tracking and renewal
• Endpoint inventory with ownership
• Zombie API detection and removal
• Automated expiration alerting

Ask: Security Team, IT Team",,,,AR_1398
AR_1399,"Multimodal adversarial testing validates defenses against sophisticated attacks. Poisoned sample detection, steganographic payload identification, and polymorphic malware recognition prevent hidden triggers from corrupting models.

Check:
• Testing across multiple attack modalities
• Poisoned sample detection mechanisms
• Steganographic payload scanning
• Polymorphic pattern recognition

Ask: Security Team",,,,AR_1399
AR_1401,"Abuse prevention for AI channels stops replay attacks and AI-generated phishing. Request signing and replay detection prevent reuse, while phishing campaign detection identifies AI-generated manipulation attempts.

Check:
• Replay attack prevention mechanisms
• Request signing and validation
• AI-generated phishing detection
• Abuse pattern monitoring and blocking

Ask: Security Team",,,,AR_1401
AR_1402,"Staff usage restrictions prevent AI tool misuse. Policies prohibit malicious code hiding, technical controls block unvetted plugins, and DLP prevents sensitive data leakage to unsanctioned tools.

Check:
• Policy prohibiting AI misuse
• Plugin/extension vetting requirements
• DLP controls blocking sensitive uploads
• Monitoring detecting policy violations

Ask: Security Team, Compliance Team",,,,AR_1402
AR_1404,"Workforce impact assessment manages AI's human consequences. Communication addresses concerns, retraining provides paths forward, redeployment maintains employment, and morale measurement tracks psychological impacts.

Check:
• Formal workforce impact assessment
• Communication and retraining programs
• Redeployment planning
• Morale and productivity measurement

Ask: Compliance Team, Risk Team",,,,AR_1404
AR_1410,"Client data controls prevent confidentiality breaches and conflicts of interest. Technical restrictions block public tool uploads, while conflict management prevents AI from surfacing privileged information across client boundaries.

Check:
• Controls preventing client data in public tools
• Conflict-of-interest detection and blocking
• DLP enforcement for client-identifying data
• Regular audits validating protection effectiveness

Ask: Compliance Team, Security Team",,,,AR_1410
AR_1411,"Governance and compliance for sensitive training data prevents privacy violations. DPIA completion identifies risks, lawful basis confirmation ensures legality, and cross-border transfer compliance prevents jurisdictional violations.

Check:
• Governance approval requirements
• DPIA completion for sensitive data
• Lawful basis documentation
• Cross-border transfer compliance

Ask: Compliance Team, Legal Team",,,,AR_1411
AR_1412,"Claims decision validation prevents systematic denial of valid claims. Rule testing ensures fairness, while clear escalation and human appeal mechanisms enable correction of AI errors.

Check:
• Validation testing preventing systematic denials
• Rule fairness assessment
• Escalation mechanisms clearly communicated
• Human appeal processes established

Ask: Risk Team, Product Team",,,,AR_1412
AR_1414,"Demographic performance testing identifies discriminatory AI models. Error rate analysis across groups reveals disparate impact, while remediation addresses systematic disadvantages before deployment or during operation.

Check:
• Performance testing across demographic groups
• Error rate comparison identifying disparities
• Remediation workflows for detected bias
• Regular retesting validating fairness

Ask: Ethics Team, Data Team",,,,AR_1414
AR_1415,"MNPI restrictions prevent insider trading and trade secret theft through AI tools. Training creates awareness, technical restrictions block access, and surveillance detects violations.

Check:
• Policy prohibiting MNPI in AI tools
• Technical restrictions blocking MNPI access
• Training on MNPI handling requirements
• Surveillance detecting violations

Ask: Compliance Team, Security Team",,,,AR_1415
AR_1421,"Incident reporting processes ensure regulatory compliance. Identification procedures detect reportable events, assessability determines obligations, notification mechanisms meet timelines, and DPIA linkage demonstrates due diligence.

Check:
• Incident identification procedures
• Reportability assessment criteria
• Notification processes with timelines
• DPIA/impact assessment integration

Ask: Compliance Team, Legal Team",,,,AR_1421
AR_1434,"Comprehensive customer AI disclosures enable informed decision-making. AI involvement transparency sets expectations, limitation communication prevents over-reliance, inappropriateness conditions protect customers, recourse mechanisms provide alternatives, plain language ensures comprehension, and proactive provision prevents surprises.

Check:
• AI disclosure at interaction point
• Limitation and condition communication
• Recourse mechanism information
• Plain-language accessibility and proactive delivery

Ask: Compliance Team, Product Team",,,,AR_1434
AR_GOV_01,"Federal AI systems must comply with FedRAMP security controls and authorization processes mandated for cloud services handling government data. Government AI deployments require continuous monitoring, security controls validation, and agency authorization. Without FedRAMP compliance, AI systems cannot be legally deployed in federal environments regardless of functionality.

Check:
• Documented compliance with applicable regulations
• Independent validation and testing procedures
• Human oversight and review requirements
• Incident response and regulatory reporting procedures

Common mistake: Treating government AI like commercial systems without addressing public accountability, constitutional constraints, and administrative law requirements.

Ask: Compliance Team, Legal Team",,,,AR_GOV_01
AR_GOV_02,"Classified AI systems require enhanced security controls beyond commercial standards to protect national security information from espionage and unauthorized disclosure. Intelligence community AI faces stringent access controls, compartmentalization, and continuous monitoring requirements. Inadequate controls on classified AI systems create catastrophic national security risks.

Check:
• Documented compliance with applicable regulations
• Independent validation and testing procedures
• Human oversight and review requirements
• Incident response and regulatory reporting procedures

Common mistake: Treating government AI like commercial systems without addressing public accountability, constitutional constraints, and administrative law requirements.

Ask: Security Team, Compliance Team",,,,AR_GOV_02
