QID,Option_Order,Answer_Option
AR_1128,1,Yes - Workload segregation enforced
AR_1128,2,Partial - Logical segregation only
AR_1128,3,No - No workload segregation
AR_1128,4,Not Applicable - Single environment
AR_1129,1,Yes - Real-time monitoring with alerts
AR_1129,2,Partial - Monitoring without auto alerts
AR_1129,3,No - No performance monitoring
AR_1129,4,Not Applicable - No compute resources
AR_1130,1,Yes - Formal lifecycle management enforced
AR_1130,2,Partial - Process partially implemented
AR_1130,3,No - No lifecycle management
AR_1130,4,Not Applicable - No compute resources
AR_1131,1,Yes - CMK encryption enforced everywhere
AR_1131,2,Partial - Encryption without CMK
AR_1131,3,No - No encryption
AR_1131,4,Not Applicable - No enterprise data
AR_1132,1,Yes - Auto crypto-verified backups
AR_1132,2,Partial - Backups without crypto verification
AR_1132,3,No - No backup mechanisms
AR_1132,4,Not Applicable - No AI assets
AR_1133,1,Yes - Multi-region availability enforced
AR_1133,2,Partial - Partial multi-region deployment
AR_1133,3,No - Single region only
AR_1133,4,Not Applicable - No availability requirements
AR_1134,1,Yes - Classification with enforced controls
AR_1134,2,Partial - Classification without enforcement
AR_1134,3,No - No data classification
AR_1134,4,Not Applicable - No data assets
AR_1135,1,1-2 (Low/Limited)
AR_1135,2,3 (Moderate)
AR_1135,3,4-5 (High/Strong)
AR_1135,4,Not Applicable
AR_1136,1,Yes - Microsegmentation enforced
AR_1136,2,Partial - Partial microsegmentation
AR_1136,3,No - No microsegmentation
AR_1136,4,Not Applicable - No network architecture
AR_1137,1,Yes - Mutual auth and encryption enforced
AR_1137,2,Partial - Encryption without mutual auth
AR_1137,3,No - No secure connections
AR_1137,4,Not Applicable - No external connections
AR_1138,1,Yes - Automated traffic management
AR_1138,2,Partial - Manual traffic management
AR_1138,3,No - No traffic management
AR_1138,4,Not Applicable - No availability requirements
AR_1139,1,Yes - Comprehensive visibility implemented
AR_1139,2,Partial - Limited visibility
AR_1139,3,No - No network visibility
AR_1139,4,Not Applicable - No network infrastructure
AR_1140,1,Yes - Connectivity risks formally managed
AR_1140,2,Partial - Risks partially managed
AR_1140,3,No - No connectivity risk management
AR_1140,4,Not Applicable - No hybrid connectivity
AR_1141,1,Yes - Automated IAM governance enforced
AR_1141,2,Partial - Manual IAM processes
AR_1141,3,No - No IAM governance
AR_1141,4,Not Applicable - No cloud services
AR_1142,1,Yes - JIT access with monitoring
AR_1142,2,Partial - JIT without full monitoring
AR_1142,3,No - No privileged controls
AR_1142,4,Not Applicable - No privileged accounts
AR_1143,1,Yes - Machine identities fully managed
AR_1143,2,Partial - Partial credential management
AR_1143,3,No - No machine identity management
AR_1143,4,Not Applicable - No machine identities
AR_1144,1,Yes - Quarterly reviews with automation
AR_1144,2,Partial - Reviews without automation
AR_1144,3,No - No access reviews
AR_1144,4,Not Applicable - No access controls
AR_1145,1,Yes - MFA with phishing-resistant methods
AR_1145,2,Partial - MFA without phishing resistance
AR_1145,3,No - No MFA enforcement
AR_1145,4,Not Applicable - No user authentication
AR_1146,1,Yes - Monitoring with auto remediation
AR_1146,2,Partial - Monitoring without remediation
AR_1146,3,No - No health monitoring
AR_1146,4,Not Applicable - No infrastructure
AR_1147,1,Yes - Formal incident process enforced
AR_1147,2,Partial - Process partially documented
AR_1147,3,No - No incident process
AR_1147,4,Not Applicable - No incidents
AR_1149,1,Yes - Tamper-proof logs with analysis
AR_1149,2,Partial - Logs without tamper protection
AR_1149,3,No - No log retention
AR_1149,4,Not Applicable - No operational data
AR_1150,1,Yes - Formal maturity program
AR_1150,2,Partial - Informal improvement efforts
AR_1150,3,No - No maturity program
AR_1150,4,Not Applicable - No operations
AR_1151,1,Yes - Automated HA failover enforced
AR_1151,2,Partial - HA with manual failover
AR_1151,3,No - No high availability
AR_1151,4,Not Applicable - No critical infrastructure
AR_1152,1,Yes - Tested DR with RTO/RPO
AR_1152,2,Partial - DR without testing
AR_1152,3,No - No DR strategy
AR_1152,4,Not Applicable - No critical infrastructure
AR_1153,1,Yes - Routine Chaos Engineering
AR_1153,2,Partial - Occasional fault testing
AR_1153,3,No - No fault injection
AR_1153,4,Not Applicable - No production environment
AR_1154,1,Yes - Formal outage plan documented
AR_1154,2,Partial - Plan partially documented
AR_1154,3,No - No outage plan
AR_1154,4,Not Applicable - No critical systems
AR_1155,1,Yes - Regular threat scenario testing
AR_1155,2,Partial - Occasional threat testing
AR_1155,3,No - No threat testing
AR_1155,4,Not Applicable - No resilience requirements
AR_1156,1,Yes - Spending governed with reporting
AR_1156,2,Partial - Controls without reporting
AR_1156,3,No - No spending governance
AR_1156,4,Not Applicable - No cloud spending
AR_1157,1,Yes - Automated resource optimization
AR_1157,2,Partial - Manual resource reviews
AR_1157,3,No - No resource optimization
AR_1157,4,Not Applicable - No cloud resources
AR_1158,1,Yes - Scaling aligned with budgets
AR_1158,2,Partial - Scaling without budget controls
AR_1158,3,No - No scaling controls
AR_1158,4,Not Applicable - No auto-scaling
AR_1159,1,Yes - Chargeback mechanisms enforced
AR_1159,2,Partial - Showback without chargeback
AR_1159,3,No - No cost accountability
AR_1159,4,Not Applicable - No cloud costs
AR_1166,1,Yes - Training with vendor contracts
AR_1166,2,Partial - Training without vendor extension
AR_1166,3,No - No AI training program
AR_1166,4,Not Applicable - No AI policy
AR_1167,1,Yes - Immutable decision ledger maintained
AR_1167,2,Partial - Decisions logged without immutability
AR_1167,3,No - No decision ledger
AR_1167,4,Not Applicable - No governance committee
AR_1172,1,Yes - Escalation paths formally defined
AR_1172,2,Partial - Paths partially defined
AR_1172,3,No - No escalation paths
AR_1172,4,Not Applicable - No AI systems
AR_1177,1,Yes - Incident roles clearly defined
AR_1177,2,Partial - Roles partially defined
AR_1177,3,No - No role definitions
AR_1177,4,Not Applicable - No AI incidents
AR_1178,1,Yes - Roles aligned with risk tolerance
AR_1178,2,Partial - Partial alignment
AR_1178,3,No - No alignment
AR_1178,4,Not Applicable - No risk tolerance defined
AR_1180,1,Yes - Tested succession plan maintained
AR_1180,2,Partial - Plan without testing
AR_1180,3,No - No succession plan
AR_1180,4,Not Applicable - No governance roles
AR_1181,1,Yes - Accountability clearly defined
AR_1181,2,Partial - Accountability partially defined
AR_1181,3,No - Accountability unclear
AR_1181,4,Not Applicable - No AI systems
AR_1182,1,Yes - Highly effective governance
AR_1182,2,Partial - Moderately effective governance
AR_1182,3,No - Ineffective governance
AR_1182,4,Not Applicable - No governance structure
AR_1184,1,Yes - Comprehensive version-controlled inventory
AR_1184,2,Partial - Incomplete inventory
AR_1184,3,No - No AI inventory
AR_1184,4,Not Applicable - No AI systems
AR_1187,1,Yes - Formal decommissioning process
AR_1187,2,Partial - Process partially documented
AR_1187,3,No - No decommissioning process
AR_1187,4,Not Applicable - No decommissioning
AR_1188,1,Low (0-33%)
AR_1188,2,Moderate (34-66%)
AR_1188,3,High (67-100%)
AR_1188,4,Not Applicable
AR_1189,1,Yes - Datasets categorized and segregated
AR_1189,2,Partial - Partial categorization
AR_1189,3,No - No dataset segregation
AR_1189,4,Not Applicable - No datasets
AR_1190,1,Yes - Bias risks formally assessed
AR_1190,2,Partial - Risks identified not assessed
AR_1190,3,No - No bias assessment
AR_1190,4,Not Applicable - No datasets
AR_1191,1,Yes - Mature data quality governance
AR_1191,2,Partial - Basic quality practices
AR_1191,3,No - No quality governance
AR_1191,4,Not Applicable - No AI data
AR_1192,1,Yes - Retention rules consistently applied
AR_1192,2,Partial - Rules defined not enforced
AR_1192,3,No - No retention rules
AR_1192,4,Not Applicable - No datasets
AR_1193,1,Yes - Third-party data formally governed
AR_1193,2,Partial - Documented without oversight
AR_1193,3,No - No third-party governance
AR_1193,4,Not Applicable - No third-party data
AR_1195,1,Low (0-33%)
AR_1195,2,Moderate (34-66%)
AR_1195,3,High (67-100%)
AR_1195,4,Not Applicable
AR_1198,1,Yes - Open-source formally reviewed
AR_1198,2,Partial - Reviews partially conducted
AR_1198,3,No - No license reviews
AR_1198,4,Not Applicable - No open-source usage
AR_1199,1,Yes - Concentration risk formally assessed
AR_1199,2,Partial - Informal risk awareness
AR_1199,3,No - No concentration assessment
AR_1199,4,Not Applicable - No vendor dependency
AR_1214,1,Low (0-33%)
AR_1214,2,Moderate (34-66%)
AR_1214,3,High (67-100%)
AR_1214,4,Not Applicable
AR_1216,1,Yes - Comprehensive harm evaluation
AR_1216,2,Partial - Limited harm assessment
AR_1216,3,No - No harm evaluation
AR_1216,4,Not Applicable - No impact assessments
AR_1226,1,Yes - Vulnerable groups explicitly assessed
AR_1226,2,Partial - Limited vulnerable assessment
AR_1226,3,No - No vulnerable assessment
AR_1226,4,Not Applicable - No impact assessments
AR_1228,1,Yes - Jurisdictional impacts evaluated
AR_1228,2,Partial - Limited jurisdictional review
AR_1228,3,No - No jurisdictional assessment
AR_1228,4,Not Applicable - Single jurisdiction only
AR_1229,1,Low (0-33%)
AR_1229,2,Moderate (34-66%)
AR_1229,3,High (67-100%)
AR_1229,4,Not Applicable
AR_1235,1,Yes - Comprehensive dataset governance
AR_1235,2,Partial - Governance partially implemented
AR_1235,3,No - No dataset governance
AR_1235,4,Not Applicable - No model training
AR_1236,1,Yes - Independent feature review enforced
AR_1236,2,Partial - Internal review only
AR_1236,3,No - No feature review
AR_1236,4,Not Applicable - No feature engineering
AR_1239,1,Yes - Comprehensive MLOps controls
AR_1239,2,Partial - Basic environment separation
AR_1239,3,No - No MLOps controls
AR_1239,4,Not Applicable - No ML operations
AR_1240,1,Yes - Continuous monitoring with alerts
AR_1240,2,Partial - Periodic monitoring only
AR_1240,3,No - No monitoring mechanisms
AR_1240,4,Not Applicable - No production systems
AR_1241,1,Yes - Thresholds with auto interventions
AR_1241,2,Partial - Thresholds without auto actions
AR_1241,3,No - No threshold definitions
AR_1241,4,Not Applicable - No monitoring
AR_1243,1,Yes - Retraining governance enforced
AR_1243,2,Partial - Basic validation only
AR_1243,3,No - No retraining governance
AR_1243,4,Not Applicable - No automated retraining
AR_1249,1,Low (0-33%)
AR_1249,2,Moderate (34-66%)
AR_1249,3,High (67-100%)
AR_1249,4,Not Applicable
AR_1250,1,Low (0-33%)
AR_1250,2,Moderate (34-66%)
AR_1250,3,High (67-100%)
AR_1250,4,Not Applicable
AR_1251,1,Yes - Formal retirement approval required
AR_1251,2,Partial - Approval partially documented
AR_1251,3,No - No retirement approval
AR_1251,4,Not Applicable - No retirements
AR_1252,1,Yes - Comprehensive retirement process
AR_1252,2,Partial - Process partially implemented
AR_1252,3,No - No retirement process
AR_1252,4,Not Applicable - No retirements
AR_1256,1,1-2 (Low/Limited)
AR_1256,2,3 (Moderate)
AR_1256,3,4-5 (High/Strong)
AR_1256,4,Not Applicable
AR_1261,1,Yes - Poisoning risks controlled
AR_1261,2,Partial - Risks assessed not controlled
AR_1261,3,No - No poisoning controls
AR_1261,4,Not Applicable - No training data
AR_1265,1,Low (0-33%)
AR_1265,2,Moderate (34-66%)
AR_1265,3,High (67-100%)
AR_1265,4,Not Applicable
AR_1266,1,Yes - Retraining checkpoint enforced
AR_1266,2,Partial - Checkpoint partially enforced
AR_1266,3,No - No retraining checkpoint
AR_1266,4,Not Applicable - No retraining
AR_1269,1,Yes - Quality standards with safeguards
AR_1269,2,Partial - Standards without safeguards
AR_1269,3,No - No quality standards
AR_1269,4,Not Applicable - No human labeling
AR_1272,1,Yes - Purpose compatibility assessed
AR_1272,2,Partial - Assessment partially performed
AR_1272,3,No - No compatibility assessment
AR_1272,4,Not Applicable - No repurposed data
AR_1278,1,Yes - AUP established and published
AR_1278,2,Partial - AUP partially defined
AR_1278,3,No - No AI AUP
AR_1278,4,Not Applicable - No AI usage
AR_1279,1,Yes - IP policy formally defined
AR_1279,2,Partial - IP policy partially defined
AR_1279,3,No - No IP policy
AR_1279,4,Not Applicable - No AI IP
AR_1280,1,Low (0-33%)
AR_1280,2,Moderate (34-66%)
AR_1280,3,High (67-100%)
AR_1280,4,Not Applicable
AR_1282,1,Yes - Reporting mechanisms with analysis
AR_1282,2,Partial - Mechanisms without analysis
AR_1282,3,No - No reporting mechanisms
AR_1282,4,Not Applicable - No AI systems
AR_1283,1,Yes - Explanation processes established
AR_1283,2,Partial - Processes partially implemented
AR_1283,3,No - No explanation processes
AR_1283,4,Not Applicable - No high-stakes decisions
AR_1284,1,Yes - Formal communication plan maintained
AR_1284,2,Partial - Plan partially documented
AR_1284,3,No - No communication plan
AR_1284,4,Not Applicable - No AI incidents
AR_1285,1,Yes - Reportability criteria formally defined
AR_1285,2,Partial - Criteria partially defined
AR_1285,3,No - No reportability criteria
AR_1285,4,Not Applicable - No external reporting
AR_1288,1,Yes - Vulnerable groups with safeguards
AR_1288,2,Partial - Identified without full safeguards
AR_1288,3,No - No vulnerable identification
AR_1288,4,Not Applicable - No vulnerable users
AR_1289,1,1-2 (Low/Limited)
AR_1289,2,3 (Moderate)
AR_1289,3,4-5 (High/Strong)
AR_1289,4,Not Applicable
AR_1290,1,Yes - Disclaimer governance enforced
AR_1290,2,Partial - Controls partially implemented
AR_1290,3,No - No disclaimer controls
AR_1290,4,Not Applicable - No AI outputs
AR_1292,1,Yes - User notification process defined
AR_1292,2,Partial - Process partially documented
AR_1292,3,No - No notification process
AR_1292,4,Not Applicable - No user-facing AI
AR_1293,1,1-2 (Low/Limited)
AR_1293,2,3 (Moderate)
AR_1293,3,4-5 (High/Strong)
AR_1293,4,Not Applicable
AR_1299,1,Yes - Misuse reporting process enforced
AR_1299,2,Partial - Process partially documented
AR_1299,3,No - No misuse reporting
AR_1299,4,Not Applicable - No AI systems
AR_1300,1,Yes - RAI objectives with measurement
AR_1300,2,Partial - Objectives without measurement
AR_1300,3,No - No RAI objectives
AR_1300,4,Not Applicable - No AI systems
AR_1302,1,Low (0-33%)
AR_1302,2,Moderate (34-66%)
AR_1302,3,High (67-100%)
AR_1302,4,Not Applicable
AR_1304,1,Yes - Periodic use assessments conducted
AR_1304,2,Partial - Assessments partially implemented
AR_1304,3,No - No use assessments
AR_1304,4,Not Applicable - No AI systems
AR_1307,1,Low (0-33%)
AR_1307,2,Moderate (34-66%)
AR_1307,3,High (67-100%)
AR_1307,4,Not Applicable
AR_1313,1,Yes - Strong progress demonstrated
AR_1313,2,Partial - Moderate progress
AR_1313,3,No - Minimal progress
AR_1313,4,Not Applicable - No RAI objectives
AR_1314,1,1-2 (Low/Limited)
AR_1314,2,3 (Moderate)
AR_1314,3,4-5 (High/Strong)
AR_1314,4,Not Applicable
AR_1320,1,Yes - Label leakage validation enforced
AR_1320,2,Partial - Validation partially implemented
AR_1320,3,No - No leakage validation
AR_1320,4,Not Applicable - No model training
AR_1321,1,Yes - Secure coding standards enforced
AR_1321,2,Partial - Standards partially enforced
AR_1321,3,No - No coding standards
AR_1321,4,Not Applicable - No AI-assisted development
AR_1327,1,Yes - Synthetic identity detection enforced
AR_1327,2,Partial - Limited detection controls
AR_1327,3,No - No synthetic detection
AR_1327,4,Not Applicable - No onboarding processes
AR_1328,1,Yes - Consent and access controls enforced
AR_1328,2,Partial - Controls partially enforced
AR_1328,3,No - No consent or access controls
AR_1328,4,Not Applicable - No AI assistants
AR_1334,1,Yes - Adversarial threats tested
AR_1334,2,Partial - Limited adversarial testing
AR_1334,3,No - No adversarial testing
AR_1334,4,Not Applicable - No AI models
AR_1335,1,Yes - Train/test separation enforced
AR_1335,2,Partial - Separation partially enforced
AR_1335,3,No - No separation enforcement
AR_1335,4,Not Applicable - No model training
AR_1337,1,Yes - Structured scenario testing conducted
AR_1337,2,Partial - Ad-hoc testing only
AR_1337,3,No - No scenario testing
AR_1337,4,Not Applicable - No AI systems
AR_1340,1,Yes - Discrimination and pattern testing
AR_1340,2,Partial - Limited testing conducted
AR_1340,3,No - No discrimination testing
AR_1340,4,Not Applicable - No consumer decisions
AR_1341,1,Yes - Evidence alteration controls enforced
AR_1341,2,Partial - Policies without technical controls
AR_1341,3,No - No alteration controls
AR_1341,4,Not Applicable - No generative AI
AR_1342,1,Yes - Strong verification enforced
AR_1342,2,Partial - Basic verification only
AR_1342,3,No - No verification requirements
AR_1342,4,Not Applicable - No voice/video payments
AR_1343,1,Low (0-33%)
AR_1343,2,Moderate (34-66%)
AR_1343,3,High (67-100%)
AR_1343,4,Not Applicable
AR_1344,1,Yes - Abuse prevention controls enforced
AR_1344,2,Partial - Controls partially implemented
AR_1344,3,No - No abuse controls
AR_1344,4,Not Applicable - No account creation
AR_1345,1,Yes - Anti-spoofing verification enforced
AR_1345,2,Partial - Basic voice verification
AR_1345,3,No - No anti-spoofing controls
AR_1345,4,Not Applicable - No voice authentication
AR_1348,1,Yes - Knowledge-transfer program implemented
AR_1348,2,Partial - Program partially implemented
AR_1348,3,No - No knowledge-transfer program
AR_1348,4,Not Applicable - No workforce impact
AR_1349,1,Yes - Monitoring safeguards implemented
AR_1349,2,Partial - Safeguards partially implemented
AR_1349,3,No - No monitoring safeguards
AR_1349,4,Not Applicable - No employee monitoring
AR_1351,1,Yes - Alert-tuning process maintained
AR_1351,2,Partial - Process partially documented
AR_1351,3,No - No tuning process
AR_1351,4,Not Applicable - No monitoring systems
AR_1352,1,Yes - Vulnerable groups with safeguards
AR_1352,2,Partial - Identified without full safeguards
AR_1352,3,No - No vulnerable identification
AR_1352,4,Not Applicable - No vulnerable users
AR_1353,1,Yes - AI use disclosed proactively
AR_1353,2,Partial - Disclosure partially implemented
AR_1353,3,No - No AI disclosure
AR_1353,4,Not Applicable - No user-facing AI
AR_1354,1,Yes - Reporting mechanisms implemented
AR_1354,2,Partial - Mechanisms partially implemented
AR_1354,3,No - No reporting mechanisms
AR_1354,4,Not Applicable - No AI systems
AR_1355,1,1-2 (Low/Limited)
AR_1355,2,3 (Moderate)
AR_1355,3,4-5 (High/Strong)
AR_1355,4,Not Applicable
AR_1356,1,Low (0-33%)
AR_1356,2,Moderate (34-66%)
AR_1356,3,High (67-100%)
AR_1356,4,Not Applicable
AR_1357,1,Low (0-33%)
AR_1357,2,Moderate (34-66%)
AR_1357,3,High (67-100%)
AR_1357,4,Not Applicable
AR_1358,1,Yes - Formal IP review conducted
AR_1358,2,Partial - IP review partially conducted
AR_1358,3,No - No IP review
AR_1358,4,Not Applicable - No AI development
AR_1365,1,Low (0-33%)
AR_1365,2,Moderate (34-66%)
AR_1365,3,High (67-100%)
AR_1365,4,Not Applicable
AR_1366,1,Yes - Cross-client protections enforced
AR_1366,2,Partial - Protections partially enforced
AR_1366,3,No - No cross-client protections
AR_1366,4,Not Applicable - No RAG systems
AR_1367,1,Yes - Drift monitoring with lesson integration
AR_1367,2,Partial - Monitoring without integration
AR_1367,3,No - No drift monitoring
AR_1367,4,Not Applicable - No important models
AR_1369,1,Yes - Business logic monitoring enforced
AR_1369,2,Partial - Limited pattern monitoring
AR_1369,3,No - No logic monitoring
AR_1369,4,Not Applicable - No recommender systems
AR_1370,1,Yes - Output reuse controlled with validation
AR_1370,2,Partial - Controls partially implemented
AR_1370,3,No - No reuse controls
AR_1370,4,Not Applicable - No model retraining
AR_1371,1,Yes - Failure modes monitored
AR_1371,2,Partial - Limited failure monitoring
AR_1371,3,No - No failure monitoring
AR_1371,4,Not Applicable - No AI code generation
AR_1374,1,Yes - Controlled update process enforced
AR_1374,2,Partial - Process partially automated
AR_1374,3,No - No update process
AR_1374,4,Not Applicable - No embedding updates
AR_1376,1,Yes - Feature integrity monitoring enforced
AR_1376,2,Partial - Limited integrity checks
AR_1376,3,No - No feature monitoring
AR_1376,4,Not Applicable - No production features
AR_1377,1,Yes - IaC with comprehensive controls
AR_1377,2,Partial - IaC with limited controls
AR_1377,3,No - No IaC management
AR_1377,4,Not Applicable - No AI infrastructure
AR_1379,1,Yes - Routine privacy attack testing
AR_1379,2,Partial - Limited privacy testing
AR_1379,3,No - No privacy attack testing
AR_1379,4,Not Applicable - No sensitive models
AR_1380,1,Yes - Lawful bases documented
AR_1380,2,Partial - Documentation partially complete
AR_1380,3,No - No lawful basis documentation
AR_1380,4,Not Applicable - No personal data
AR_1381,1,Yes - Monitoring assessed with safeguards
AR_1381,2,Partial - Safeguards partially implemented
AR_1381,3,No - No monitoring assessment
AR_1381,4,Not Applicable - No employee monitoring
AR_1385,1,Yes - Pricing behavior monitored
AR_1385,2,Partial - Limited pricing monitoring
AR_1385,3,No - No behavior monitoring
AR_1385,4,Not Applicable - No pricing AI
AR_1392,1,Yes - Adversarial controls implemented
AR_1392,2,Partial - Controls partially implemented
AR_1392,3,No - No adversarial controls
AR_1392,4,Not Applicable - No prompt-based systems
AR_1393,1,Yes - Component inventory with patching
AR_1393,2,Partial - Inventory without patching
AR_1393,3,No - No component inventory
AR_1393,4,Not Applicable - No AI components
AR_1398,1,Yes - Endpoint lifecycle managed
AR_1398,2,Partial - Lifecycle partially managed
AR_1398,3,No - No endpoint management
AR_1398,4,Not Applicable - No AI endpoints
AR_1399,1,Yes - Adversarial techniques tested
AR_1399,2,Partial - Limited adversarial testing
AR_1399,3,No - No adversarial testing
AR_1399,4,Not Applicable - No models or pipelines
AR_1401,1,Yes - Abuse prevention controls enforced
AR_1401,2,Partial - Controls partially implemented
AR_1401,3,No - No abuse controls
AR_1401,4,Not Applicable - No AI channels
AR_1402,1,Yes - Staff usage controls enforced
AR_1402,2,Partial - Policies without technical controls
AR_1402,3,No - No usage restrictions
AR_1402,4,Not Applicable - No AI tools
AR_1404,1,Yes - Workforce impacts assessed comprehensively
AR_1404,2,Partial - Assessed without measurement
AR_1404,3,No - No workforce assessment
AR_1404,4,Not Applicable - No workforce impact
AR_1410,1,Yes - Client data controls enforced
AR_1410,2,Partial - Controls partially enforced
AR_1410,3,No - No client data controls
AR_1410,4,Not Applicable - No client data
AR_1411,1,Yes - Governance and compliance enforced
AR_1411,2,Partial - Approval without full compliance
AR_1411,3,No - No governance requirements
AR_1411,4,Not Applicable - No sensitive training data
AR_1412,1,Low (0-33%)
AR_1412,2,Moderate (34-66%)
AR_1412,3,High (67-100%)
AR_1412,4,Not Applicable
AR_1414,1,Yes - Demographic testing with remediation
AR_1414,2,Partial - Testing without remediation
AR_1414,3,No - No demographic testing
AR_1414,4,Not Applicable - No high-impact models
AR_1415,1,Yes - MNPI restrictions enforced
AR_1415,2,Partial - Restrictions partially enforced
AR_1415,3,No - No MNPI restrictions
AR_1415,4,Not Applicable - No MNPI
AR_1421,1,Yes - Incident reporting process defined
AR_1421,2,Partial - Process partially defined
AR_1421,3,No - No reporting process
AR_1421,4,Not Applicable - No reportable incidents
AR_1434,1,Low (0-33%)
AR_1434,2,Moderate (34-66%)
AR_1434,3,High (67-100%)
AR_1434,4,Not Applicable
AR_GOV_01,1,Yes - Full FedRAMP authorization maintained
AR_GOV_01,2,Partial - FedRAMP process initiated
AR_GOV_01,3,No - No FedRAMP compliance
AR_GOV_01,4,Not Applicable
AR_GOV_02,1,Yes - NIST 800-53 high controls implemented
AR_GOV_02,2,Partial - Some security controls
AR_GOV_02,3,No - No NIST 800-53 compliance
AR_GOV_02,4,Not Applicable
AR_GOV_03,1,Yes - DoD RAI principles followed
AR_GOV_03,2,Partial - Some RAI principles adopted
AR_GOV_03,3,No - No DoD RAI compliance
AR_GOV_03,4,Not Applicable
AR_GOV_04,1,Yes - Civil rights impact assessments completed
AR_GOV_04,2,Partial - Some bias testing
AR_GOV_04,3,No - No civil rights assessments
AR_GOV_04,4,Not Applicable
AR_GOV_05,1,Yes - Fully implemented and operational
AR_GOV_05,2,Partial - Partially implemented
AR_GOV_05,3,No - Not implemented
AR_GOV_05,4,Not Applicable
AR_GOV_06,1,Yes - Bias testing shows no discrimination
AR_GOV_06,2,Partial - Some bias controls
AR_GOV_06,3,No - No bias testing
AR_GOV_06,4,Not Applicable
AR_GOV_07,1,Yes - Fully implemented and operational
AR_GOV_07,2,Partial - Partially implemented
AR_GOV_07,3,No - Not implemented
AR_GOV_07,4,Not Applicable
AR_GOV_08,1,Yes - Fully implemented and operational
AR_GOV_08,2,Partial - Partially implemented
AR_GOV_08,3,No - Not implemented
AR_GOV_08,4,Not Applicable
AR_GOV_09,1,Yes - OMB A-130 requirements met
AR_GOV_09,2,Partial - Working toward A-130 compliance
AR_GOV_09,3,No - Not compliant with A-130
AR_GOV_09,4,Not Applicable
AR_GOV_10,1,Yes - Validated no racial disparities
AR_GOV_10,2,Partial - Some disparity testing
AR_GOV_10,3,No - No disparity validation
AR_GOV_10,4,Not Applicable
AR_GOV_11,1,Yes - Full FedRAMP authorization maintained
AR_GOV_11,2,Partial - FedRAMP process initiated
AR_GOV_11,3,No - No FedRAMP compliance
AR_GOV_11,4,Not Applicable
AR_GOV_12,1,Yes - Privacy Act compliance with SORN/PIA
AR_GOV_12,2,Partial - Some Privacy Act controls
AR_GOV_12,3,No - No Privacy Act compliance
AR_GOV_12,4,Not Applicable
AR_GOV_13,1,Yes - OMB PRA approval obtained
AR_GOV_13,2,Partial - PRA clearance in progress
AR_GOV_13,3,No - No PRA compliance
AR_GOV_13,4,Not Applicable
AR_GOV_14,1,Yes - Privacy controls fully implemented
AR_GOV_14,2,Partial - Some privacy measures
AR_GOV_14,3,No - No privacy controls
AR_GOV_14,4,Not Applicable
AR_GOV_15,1,Yes - Records schedules enforced
AR_GOV_15,2,Partial - Some records management
AR_GOV_15,3,No - No records management
AR_GOV_15,4,Not Applicable
AR_GOV_16,1,Yes - APA reasoned explanations provided
AR_GOV_16,2,Partial - Some APA transparency
AR_GOV_16,3,No - No APA compliance
AR_GOV_16,4,Not Applicable
AR_GOV_17,1,Yes - FISMA assessments and monitoring current
AR_GOV_17,2,Partial - FISMA partially implemented
AR_GOV_17,3,No - No FISMA compliance
AR_GOV_17,4,Not Applicable
AR_GOV_18,1,Yes - No disparate impact validated
AR_GOV_18,2,Partial - Some disparity testing
AR_GOV_18,3,No - No disparity analysis
AR_GOV_18,4,Not Applicable
AR_GOV_19,1,Yes - Data minimization enforced
AR_GOV_19,2,Partial - Some minimization controls
AR_GOV_19,3,No - No minimization controls
AR_GOV_19,4,Not Applicable
AR_GOV_20,1,Yes - FAR cybersecurity clauses enforced
AR_GOV_20,2,Partial - Some FAR requirements
AR_GOV_20,3,No - No FAR compliance
AR_GOV_20,4,Not Applicable
AR_LEG_01,1,Yes - Attorneys meet ABA 1.1 competence
AR_LEG_01,2,Partial - Competence gaps identified
AR_LEG_01,3,No - No AI competence standards
AR_LEG_01,4,Not Applicable
AR_LEG_02,1,Yes - Privilege protection enforced
AR_LEG_02,2,Partial - Some privilege controls
AR_LEG_02,3,No - No privilege safeguards
AR_LEG_02,4,Not Applicable
AR_LEG_03,1,Yes - Fully implemented and operational
AR_LEG_03,2,Partial - Partially implemented
AR_LEG_03,3,No - Not implemented
AR_LEG_03,4,Not Applicable
AR_LEG_04,1,Yes - All citations independently verified
AR_LEG_04,2,Partial - Some verification processes
AR_LEG_04,3,No - No verification required
AR_LEG_04,4,Not Applicable
AR_LEG_05,1,Yes - Fully implemented and operational
AR_LEG_05,2,Partial - Partially implemented
AR_LEG_05,3,No - Not implemented
AR_LEG_05,4,Not Applicable
AR_LEG_06,1,Yes - Independent validation completed
AR_LEG_06,2,Partial - Some validation performed
AR_LEG_06,3,No - No validation
AR_LEG_06,4,Not Applicable
AR_LEG_07,1,Yes - AI use disclosed to clients
AR_LEG_07,2,Partial - Selective disclosure
AR_LEG_07,3,No - No disclosure required
AR_LEG_07,4,Not Applicable
AR_LEG_08,1,Yes - Bias testing shows no discrimination
AR_LEG_08,2,Partial - Some bias controls
AR_LEG_08,3,No - No bias testing
AR_LEG_08,4,Not Applicable
AR_LEG_09,1,Yes - AI malpractice coverage secured
AR_LEG_09,2,Partial - Exploring coverage options
AR_LEG_09,3,No - No AI malpractice coverage
AR_LEG_09,4,Not Applicable
AR_LEG_10,1,Yes - Quality controls prevent sanctions
